seq_id,print_id,tile_id,saturated,centroids
42,SI266220200309225433,10,0,158.25786163522014,9.742138364779874,159
43,SI266220200309225433,11,0,
44,SI266220200309225433,12,0,
45,SI266220200309225433,13,0,
46,SI266220200309225433,14,0,
47,SI266220200309225433,15,0,
48,SI266220200309225433,0,0,
49,SI266220200309225433,1,0,
50,SI266220200309225433,2,77,320.7142857142857,178.0,7,377.2,198.5,10,477.4816053511706,173.79933110367892,299
51,SI266220200309225433,3,6667,345.8032258064516,149.65806451612903,310,343.5,101.25,12,450.43243243243245,105.70270270270271,37,453.9230769230769,179.30769230769232,13,497.55384615384617,173.04615384615386,65,498.2857142857143,96.38095238095238,21
52,SI266220200309225433,4,0,
53,SI266220200309225433,5,129,402.4630715123095,462.19460726846427,853,350.0,286.2857142857143,7,350.0,234.0,7,419.852,283.316,250,406.5652173913044,239.47826086956522,23,432.0,498.0,19,433.1951219512195,242.5121951219512,41
54,SI266220200309225433,6,0,21.162068965517243,173.26206896551724,290,428.04545454545456,1.0,22
55,SI266220200309225433,7,2895,0.7272727272727273,96.36363636363636,22,25.3768115942029,164.8840579710145,138,396.2907348242812,117.80511182108626,313
56,SI266220200309225433,8,0,
57,SI266220200309225433,9,358,54.705882352941174,485.6470588235294,17,128.36470588235295,493.01882352941175,425,152.36363636363637,445.90909090909093,11,296.81976744186045,498.34302325581393,172
58,SI266220200309225433,10,4,138.33639143730886,4.198776758409786,327,294.66101694915255,0.6271186440677966,177,497.0,0.8571428571428571,7
59,SI266220200309225433,11,0,
60,SI266220200309225433,12,0,
61,SI266220200309225433,13,0,40.5,455.3125,16
62,SI266220200309225433,14,0,
63,SI266220200309225433,15,0,
64,SI266220200309225433,0,0,
65,SI266220200309225433,1,0,
66,SI266220200309225433,2,0,
67,SI266220200309225433,3,268,302.2352941176471,142.2549019607843,51,315.5,113.0,6,339.1,156.1,10,350.70588235294116,101.11764705882354,17,385.5,93.8,10,447.86046511627904,120.34883720930233,43,451.85714285714283,184.57142857142858,7,475.6981132075472,141.75471698113208,53,498.40625,98.65625,32
68,SI266220200309225433,4,0,
69,SI266220200309225433,5,0,
70,SI266220200309225433,6,0,0.75,164.5,8,350.5,465.0,10
71,SI266220200309225433,7,91,0.6666666666666666,100.6923076923077,39,35.06122448979592,95.18367346938776,49,350.5833333333333,181.0,12,438.18518518518516,93.85185185185185,27
72,SI266220200309225433,8,0,
73,SI266220200309225433,9,0,79.14285714285714,470.57142857142856,7,106.0,498.22222222222223,9,132.6,498.2,5,252.26666666666668,498.1333333333333,15
74,SI266220200309225433,10,0,123.22222222222223,1.1111111111111112,18,251.12765957446808,20.106382978723403,47,497.0,1.0,8
75,SI266220200309225433,11,0,
76,SI266220200309225433,12,0,
77,SI266220200309225433,13,0,1.0,498.0,5
78,SI266220200309225433,14,0,
79,SI266220200309225433,15,0,
80,SI266220200309225433,0,0,
81,SI266220200309225433,1,0,
82,SI266220200309225433,2,0,468.1363636363636,169.04545454545453,22
83,SI266220200309225433,3,396,289.85714285714283,127.55357142857143,56,361.83417085427135,163.90954773869348,199,356.1136363636364,98.72727272727273,44,389.5,124.0,6,447.0769230769231,112.15384615384616,65,498.0952380952381,171.14285714285714,42,498.45454545454544,95.27272727272727,11
84,SI266220200309225433,4,0,
85,SI266220200309225433,5,0,357.7142857142857,465.7,70,426.27777777777777,462.7936507936508,126
86,SI266220200309225433,6,0,352.2307692307692,379.38461538461536,13
87,SI266220200309225433,7,727,0.5555555555555556,94.77777777777777,9,14.28,177.1,100
88,SI266220200309225433,8,0,
89,SI266220200309225433,9,0,77.45454545454545,482.72727272727275,11,164.27272727272728,486.0,11,253.4,447.8,25
90,SI266220200309225433,10,0,340.3333333333333,35.333333333333336,6
91,SI266220200309225433,11,0,
92,SI266220200309225433,12,0,
93,SI266220200309225433,13,0,
94,SI266220200309225433,14,0,
95,SI266220200309225433,15,0,
96,SI266220200309225433,0,0,
97,SI266220200309225433,1,0,
98,SI266220200309225433,2,0,337.22222222222223,176.05555555555554,54,381.2463768115942,183.92753623188406,69,498.0,239.7,10
99,SI266220200309225433,3,7571,353.4415584415584,134.48701298701297,308,470.26517571884983,141.38658146964858,313
100,SI266220200309225433,4,0,
101,SI266220200309225433,5,0,
102,SI266220200309225433,6,0,1.0,240.0,12,273.2083333333333,378.7083333333333,24,436.2,378.0,5
103,SI266220200309225433,7,3084,28.02061855670103,152.73711340206185,194,1.1842105263157894,141.0,38,270.6111111111111,95.0,18
104,SI266220200309225433,8,0,
105,SI266220200309225433,9,6,146.48979591836735,498.14285714285717,49,156.5321100917431,449.88990825688074,109,327.59375,447.1145833333333,96
106,SI266220200309225433,10,0,143.9512195121951,0.9512195121951219,41,251.83333333333334,35.833333333333336,6
107,SI266220200309225433,11,0,
108,SI266220200309225433,12,0,238.15384615384616,297.61538461538464,13
109,SI266220200309225433,13,0,
110,SI266220200309225433,14,0,
111,SI266220200309225433,15,0,
112,SI266220200309225433,0,0,
113,SI266220200309225433,1,0,
114,SI266220200309225433,2,0,498.2142857142857,233.0,28
115,SI266220200309225433,3,1583,285.4,132.13333333333333,30,322.7692307692308,110.53846153846153,13,339.2,155.4,5,363.75,98.0,8,364.0,162.71428571428572,7,459.69444444444446,183.27777777777777,36,466.1666666666667,93.33333333333333,6,498.3235294117647,104.8529411764706,34,498.2307692307692,172.07692307692307,26
116,SI266220200309225433,4,0,
117,SI266220200309225433,5,0,
118,SI266220200309225433,6,0,1.0,202.17241379310346,58
119,SI266220200309225433,7,0,20.651399491094146,158.9033078880407,393
120,SI266220200309225433,8,0,
121,SI266220200309225433,9,0,113.0,498.0,16
122,SI266220200309225433,10,0,113.44444444444444,1.0,18
123,SI266220200309225433,11,0,
124,SI266220200309225433,12,0,
125,SI266220200309225433,13,0,
126,SI266220200309225433,14,0,
127,SI266220200309225433,15,0,
128,SI266220200309225433,0,0,
129,SI266220200309225433,1,0,
130,SI266220200309225433,2,0,452.8086956521739,168.64347826086956,115,451.45454545454544,221.1818181818182,11,496.5483870967742,250.0,31,498.28205128205127,185.93589743589743,78
131,SI266220200309225433,3,2418,298.9310344827586,118.41379310344827,116,364.125,98.125,8,382.7692307692308,158.7948717948718,39,447.90909090909093,169.1818181818182,11,449.1875,114.8125,16,497.1923076923077,176.0,26,498.0487804878049,117.3170731707317,41
132,SI266220200309225433,4,0,435.0,384.95652173913044,23
133,SI266220200309225433,5,0,
134,SI266220200309225433,6,0,0.9113924050632911,182.68354430379748,79,21.17241379310345,247.93103448275863,58,274.6363636363636,449.90909090909093,11,436.0,465.7142857142857,7
135,SI266220200309225433,7,918,1.0263157894736843,118.36842105263158,38,14.895833333333334,177.16666666666666,48,274.1489361702128,165.40425531914894,47,352.2857142857143,95.96428571428571,28,436.2692307692308,182.1153846153846,26
136,SI266220200309225433,8,0,
137,SI266220200309225433,9,0,109.21875,498.15625,32,155.4,498.0,25,252.84444444444443,447.44444444444446,45
138,SI266220200309225433,10,26,142.33918128654972,7.426900584795321,171,330.3047619047619,33.00952380952381,105,497.72727272727275,1.8181818181818181,11
139,SI266220200309225433,11,0,
140,SI266220200309225433,12,0,1.0,353.0,5,55.06666666666667,369.6666666666667,15,152.0,298.5,6,232.9777777777778,385.9555555555556,45
141,SI266220200309225433,13,0,
142,SI266220200309225433,14,0,1.0,1.7142857142857142,7
143,SI266220200309225433,15,0,
144,SI266220200309225433,0,0,
145,SI266220200309225433,1,0,
146,SI266220200309225433,2,0,384.5,378.5,6
147,SI266220200309225433,3,832,283.14285714285717,136.85714285714286,28,362.0921052631579,99.26315789473684,76,321.6,151.4,15,450.42857142857144,179.28571428571428,7,497.6936416184971,126.64739884393063,173
148,SI266220200309225433,4,0,356.0888888888889,385.4222222222222,45
149,SI266220200309225433,5,0,
150,SI266220200309225433,6,0,167.77777777777777,418.55555555555554,9,276.0625,378.375,16,353.0571428571429,464.4,35,438.77272727272725,378.59090909090907,22
151,SI266220200309225433,7,265,16.46518987341772,123.39873417721519,316,165.14285714285714,133.14285714285714,21,273.4166666666667,94.75,12,353.2238805970149,179.8955223880597,67,436.7142857142857,94.42857142857143,14,432.8333333333333,125.83333333333333,6
152,SI266220200309225433,8,0,497.8333333333333,354.0,12,498.0,317.5,8
153,SI266220200309225433,9,6,101.91089108910892,493.7029702970297,101,166.34883720930233,446.86046511627904,43,288.5138888888889,498.0833333333333,72,337.5405405405405,446.8918918918919,37,498.0,498.0,5
154,SI266220200309225433,10,26,120.22222222222223,1.0,81,268.12068965517244,20.54741379310345,232,497.4375,1.875,16
155,SI266220200309225433,11,0,
156,SI266220200309225433,12,0,1.0625,339.1875,16,152.5909090909091,385.1818181818182,22
157,SI266220200309225433,13,0,1.0,498.0,5
158,SI266220200309225433,14,0,1.0,2.0,11
159,SI266220200309225433,15,0,
160,SI266220200309225433,0,0,
161,SI266220200309225433,1,0,
162,SI266220200309225433,2,0,
163,SI266220200309225433,3,986,302.1782945736434,121.65891472868218,129,368.4,93.8,5,450.5952380952381,101.4047619047619,42,498.5,94.0,6,498.0,144.5,8
164,SI266220200309225433,4,0,351.75,303.6,40
165,SI266220200309225433,5,0,
166,SI266220200309225433,6,0,166.0,415.0,7,351.5,380.5,8
167,SI266220200309225433,7,72,4.5,102.14285714285714,14,40.55555555555556,182.11111111111111,9,174.2159090909091,128.0568181818182,88,212.0,110.0,5,351.77777777777777,95.11111111111111,9
168,SI266220200309225433,8,0,449.4,335.2,5,472.4,322.8,5,497.9166666666667,323.8333333333333,24
169,SI266220200309225433,9,7,68.07865168539325,479.75280898876406,89,104.14285714285714,462.14285714285717,7,168.71428571428572,498.42857142857144,7,253.5625,498.0625,16,251.5744680851064,459.21276595744683,47,317.5,498.0,12
170,SI266220200309225433,10,0,105.73333333333333,0.8,15,169.36363636363637,7.454545454545454,11,253.5,0.8571428571428571,14,331.875,1.0,8
171,SI266220200309225433,11,0,
172,SI266220200309225433,12,0,0.8461538461538461,319.9230769230769,13,151.4,299.8,5
173,SI266220200309225433,13,0,
174,SI266220200309225433,14,0,
175,SI266220200309225433,15,0,
176,SI266220200309225433,0,0,
177,SI266220200309225433,1,0,
178,SI266220200309225433,2,0,450.89473684210526,213.57894736842104,19,450.5,245.0,6,498.0,230.09876543209876,81
179,SI266220200309225433,3,3055,295.6,127.0,10,321.3333333333333,110.11111111111111,9,366.90449438202245,133.76966292134833,178,450.30434782608694,133.34782608695653,23,491.4896551724138,138.91724137931035,290
180,SI266220200309225433,4,0,
181,SI266220200309225433,5,0,
182,SI266220200309225433,6,0,0.9850746268656716,231.8955223880597,67
183,SI266220200309225433,7,1080,6.917525773195877,148.02061855670104,291,10.4,212.8,5,40.90909090909091,128.27272727272728,11,262.93333333333334,94.33333333333333,15,273.9,161.4,30,350.14285714285717,152.57142857142858,7,352.5833333333333,93.91666666666667,12,439.8333333333333,148.33333333333334,12
184,SI266220200309225433,8,0,
185,SI266220200309225433,9,0,142.53968253968253,498.22222222222223,63,152.36363636363637,447.09090909090907,11,314.22727272727275,498.27272727272725,88
186,SI266220200309225433,10,1,146.65686274509804,7.549019607843137,102,307.9741935483871,1.632258064516129,155
187,SI266220200309225433,11,0,
188,SI266220200309225433,12,0,
189,SI266220200309225433,13,0,
190,SI266220200309225433,14,0,
191,SI266220200309225433,15,0,
192,SI266220200309225433,0,0,
193,SI266220200309225433,1,0,
194,SI266220200309225433,2,0,498.17857142857144,241.67857142857142,28
195,SI266220200309225433,3,1397,281.75,129.75,20,316.0,114.0,7,382.14285714285717,108.30952380952381,42,484.227027027027,156.8054054054054,185
196,SI266220200309225433,4,0,274.1111111111111,301.0,18,436.3333333333333,301.3333333333333,9
197,SI266220200309225433,5,0,
198,SI266220200309225433,6,0,0.7037037037037037,243.66666666666666,27,273.8666666666667,380.3333333333333,30,436.0689655172414,379.41379310344826,29
199,SI266220200309225433,7,280,0.6842105263157895,96.42105263157895,19,2.0082644628099175,154.54545454545453,121,38.733333333333334,107.6,45,276.0,101.5,10,350.6666666666667,182.5,6,433.47058823529414,107.17647058823529,17
200,SI266220200309225433,8,0,447.6,339.2,5
201,SI266220200309225433,9,19,56.5,484.0,12,112.08333333333333,498.2083333333333,24,165.6315789473684,451.4605263157895,76,251.2,498.4,5,335.7142857142857,449.7922077922078,77,335.9375,498.4375,16
202,SI266220200309225433,10,0,113.81818181818181,0.7272727272727273,33,164.5,1.0,6,251.6829268292683,32.46341463414634,41,336.0,1.0,9
203,SI266220200309225433,11,0,
204,SI266220200309225433,12,0,58.4,299.93333333333334,15,150.35714285714286,386.42857142857144,14,237.92857142857142,300.14285714285717,14
205,SI266220200309225433,13,0,
206,SI266220200309225433,14,0,
207,SI266220200309225433,15,0,
208,SI266220200309225433,0,0,
209,SI266220200309225433,1,0,
210,SI266220200309225433,2,0,
211,SI266220200309225433,3,1558,283.6666666666667,135.7,30,372.2716049382716,108.33333333333333,81,449.9130434782609,98.6086956521739,23,486.3138686131387,150.14598540145985,137
212,SI266220200309225433,4,0,274.8333333333333,365.1666666666667,6,436.0857142857143,383.9714285714286,35
213,SI266220200309225433,5,0,
214,SI266220200309225433,6,0,275.5,448.5,18,437.7586206896552,462.86206896551727,29
215,SI266220200309225433,7,246,18.07603686635945,130.46428571428572,868,168.4,128.28,25,274.95454545454544,165.22727272727272,22,415.38127090301003,154.5752508361204,299
216,SI266220200309225433,8,0,450.75,334.125,8,498.0,353.0,5
217,SI266220200309225433,9,15,58.41935483870968,480.83870967741933,31,166.0,498.09090909090907,22,252.42424242424244,447.90909090909093,33,338.0,498.375,8
218,SI266220200309225433,10,85,108.125,0.75,16,166.5909090909091,6.590909090909091,44,334.59090909090907,30.484848484848484,66,337.7142857142857,0.8571428571428571,7
219,SI266220200309225433,11,0,
220,SI266220200309225433,12,0,58.1,368.2,10,150.875,298.875,8,236.8235294117647,383.94117647058823,34
221,SI266220200309225433,13,0,
222,SI266220200309225433,14,0,
223,SI266220200309225433,15,0,
224,SI266220200309225433,0,0,
225,SI266220200309225433,1,0,
226,SI266220200309225433,2,0,458.0,250.6,5
227,SI266220200309225433,3,4348,342.23333333333335,104.56666666666666,90,360.37931034482756,163.63793103448276,58,486.96485623003196,138.54313099041534,313
228,SI266220200309225433,4,0,360.15384615384613,386.15384615384613,13
229,SI266220200309225433,5,0,430.1521739130435,228.52173913043478,46
230,SI266220200309225433,6,0,353.30434782608694,465.95652173913044,23
231,SI266220200309225433,7,1320,24.4625,95.825,80,7.818770226537217,143.8770226537217,309,39.285714285714285,183.0,7,236.0,102.28571428571429,7,263.7142857142857,102.42857142857143,28,260.3333333333333,167.88888888888889,9,351.0,94.71428571428571,7,360.1607142857143,183.25,56
232,SI266220200309225433,8,0,159.63636363636363,306.90909090909093,11,497.85714285714283,353.7142857142857,7
233,SI266220200309225433,9,70,80.125,470.125,8,135.71774193548387,486.43951612903226,248,159.56363636363636,445.3454545454546,55,290.84507042253523,498.0422535211268,71
234,SI266220200309225433,10,39,140.64563106796118,5.936893203883495,206,284.8324607329843,34.37696335078534,191,288.6875,0.953125,64
235,SI266220200309225433,11,0,
236,SI266220200309225433,12,0,1.0,316.0,5,45.0,370.5,6,156.375,386.0833333333333,24,202.8,376.6,5
237,SI266220200309225433,13,0,197.5,6.0,6
238,SI266220200309225433,14,0,
239,SI266220200309225433,15,0,
240,SI266220200309225433,0,0,
241,SI266220200309225433,1,0,
242,SI266220200309225433,2,0,
243,SI266220200309225433,3,1359,315.0241935483871,137.38709677419354,124,359.40625,98.59375,32,448.3333333333333,97.9047619047619,21,450.7162162162162,166.52702702702703,74,498.4111675126904,139.67005076142132,197
244,SI266220200309225433,4,0,351.4,386.2,5
245,SI266220200309225433,5,0,
246,SI266220200309225433,6,0,
247,SI266220200309225433,7,36,5.841666666666667,131.99583333333334,240,196.46728971962617,125.93457943925233,107,235.88888888888889,159.66666666666666,9,260.0,167.28571428571428,7,350.75,178.16666666666666,36
248,SI266220200309225433,8,0,497.8478260869565,328.82608695652175,46
249,SI266220200309225433,9,40,72.03333333333333,478.18888888888887,90,114.8360655737705,498.2950819672131,61,286.89473684210526,498.0175438596491,57
250,SI266220200309225433,10,0,116.02352941176471,1.5294117647058822,85,257.1810344827586,15.025862068965518,116,497.57142857142856,1.5714285714285714,7
251,SI266220200309225433,11,0,
252,SI266220200309225433,12,0,1.0,327.9189189189189,37,150.33333333333334,378.0833333333333,12
253,SI266220200309225433,13,0,
254,SI266220200309225433,14,0,
255,SI266220200309225433,15,0,
256,SI266220200309225433,0,0,
257,SI266220200309225433,1,0,
258,SI266220200309225433,2,0,
259,SI266220200309225433,3,1820,300.62745098039215,119.3529411764706,51,326.0,151.57142857142858,7,380.8529411764706,159.64705882352942,34,450.84,107.96,25,497.51807228915663,138.29518072289156,166
260,SI266220200309225433,4,0,440.125,387.125,8
261,SI266220200309225433,5,0,
262,SI266220200309225433,6,0,352.44444444444446,379.3333333333333,9,439.2857142857143,467.57142857142856,7
263,SI266220200309225433,7,421,0.7575757575757576,142.55757575757576,165,38.80952380952381,173.73809523809524,42,165.35,128.35,20,188.8,118.0,5,277.0,165.77777777777777,9,359.7142857142857,95.44047619047619,84,426.76190476190476,183.38095238095238,21
264,SI266220200309225433,8,0,448.6,332.2,5
265,SI266220200309225433,9,61,58.857142857142854,480.07142857142856,28,256.5074626865672,449.02985074626866,67
266,SI266220200309225433,10,0,104.28571428571429,0.5714285714285714,7,166.68,10.68,25,263.1666666666667,1.0,6,339.0,1.0,5,339.15384615384613,35.61538461538461,13
267,SI266220200309225433,11,0,
268,SI266220200309225433,12,0,61.6,371.2,5
269,SI266220200309225433,13,0,
270,SI266220200309225433,14,0,
271,SI266220200309225433,15,0,
272,SI266220200309225433,0,0,
273,SI266220200309225433,1,0,
274,SI266220200309225433,2,0,498.15384615384613,241.84615384615384,13
275,SI266220200309225433,3,1469,285.35,122.9,20,316.2,113.6,5,376.9078947368421,108.75,76,455.42857142857144,183.5,14,498.27624309392263,141.41436464088397,181
276,SI266220200309225433,4,0,273.5,299.5,14
277,SI266220200309225433,5,0,
278,SI266220200309225433,6,0,0.75,246.41666666666666,12,272.27272727272725,379.8484848484849,33,434.6388888888889,379.77777777777777,36
279,SI266220200309225433,7,586,9.472340425531915,131.2127659574468,235,274.51162790697674,96.83720930232558,43,406.3333333333333,125.88888888888889,9,437.42105263157896,95.42105263157895,19
280,SI266220200309225433,8,0,
281,SI266220200309225433,9,95,161.61764705882354,452.11764705882354,102,163.5,498.0,8,259.0,498.0,5,331.7,449.0444444444444,90
282,SI266220200309225433,10,4,158.16666666666666,1.0,6,252.22727272727272,33.5,22,259.0,0.8571428571428571,7
283,SI266220200309225433,11,0,
284,SI266220200309225433,12,0,151.92,386.28,25
285,SI266220200309225433,13,0,
286,SI266220200309225433,14,0,
287,SI266220200309225433,15,0,
288,SI266220200309225433,0,0,
289,SI266220200309225433,1,0,
290,SI266220200309225433,2,0,
291,SI266220200309225433,3,1233,281.5625,130.0,16,366.59615384615387,145.76923076923077,52,370.0,95.0,14,481.11369193154036,136.31295843520783,818
292,SI266220200309225433,4,0,437.6666666666667,383.5,6
293,SI266220200309225433,5,0,
294,SI266220200309225433,6,0,275.6,447.2,5,438.54545454545456,463.72727272727275,11
295,SI266220200309225433,7,189,17.09492273730684,139.92862398822663,1359,165.75,132.08333333333334,12,266.30980392156863,140.46274509803922,255,380.42857142857144,107.76190476190476,21,428.5396341463415,154.21646341463415,328
296,SI266220200309225433,8,0,498.0,353.0,7
297,SI266220200309225433,9,21,64.875,484.8125,16,113.0,498.4,35,168.35714285714286,497.85714285714283,14,337.3333333333333,498.22222222222223,9
298,SI266220200309225433,10,13,111.2051282051282,0.717948717948718,39,168.07692307692307,8.564102564102564,39,338.219512195122,17.878048780487806,41
299,SI266220200309225433,11,0,
300,SI266220200309225433,12,0,1.0,352.5,6,238.0,384.2857142857143,7
301,SI266220200309225433,13,0,
302,SI266220200309225433,14,0,
303,SI266220200309225433,15,0,
304,SI266220200309225433,0,0,
305,SI266220200309225433,1,0,
306,SI266220200309225433,2,0,453.875,178.9375,16,497.87719298245617,190.7982456140351,114
307,SI266220200309225433,3,5077,333.0184049079755,152.09202453987731,163,484.57512953367876,136.99740932642487,386
308,SI266220200309225433,4,18,266.38260869565215,367.495652173913,115,426.6981132075472,386.2169811320755,106
309,SI266220200309225433,5,16,402.32142857142856,302.81168831168833,308,403.2736842105263,264.07894736842104,190,411.875,21.125,8,415.6666666666667,465.8888888888889,9
310,SI266220200309225433,6,0,1.135135135135135,191.44144144144144,111,37.98076923076923,195.01923076923077,52,274.09090909090907,449.72727272727275,11,437.5,466.0,8
311,SI266220200309225433,7,1444,10.167259786476869,148.11743772241994,281,230.5,133.0,6,271.05405405405406,166.24324324324326,37,351.8333333333333,97.45238095238095,42,392.75,94.75,12,434.75,183.0,24
312,SI266220200309225433,8,0,156.6,361.8,5,254.66666666666666,378.3333333333333,12,322.4166666666667,370.3333333333333,24,498.0769230769231,353.53846153846155,13
313,SI266220200309225433,9,0,130.9875,498.275,80,289.6730769230769,483.4893162393162,468
314,SI266220200309225433,10,85,140.95945945945945,7.95045045045045,222,311.4423076923077,13.453846153846154,260
315,SI266220200309225433,11,0,
316,SI266220200309225433,12,0,0.8181818181818182,354.27272727272725,11,54.0,370.0,29,230.0,386.6666666666667,9
317,SI266220200309225433,13,0,
318,SI266220200309225433,14,0,
319,SI266220200309225433,15,0,
320,SI266220200309225433,0,0,
321,SI266220200309225433,1,0,
322,SI266220200309225433,2,0,498.0,181.17142857142858,35
323,SI266220200309225433,3,2336,335.88796680497927,127.76763485477179,241,483.91058823529414,150.05411764705883,425
324,SI266220200309225433,4,0,353.33870967741933,382.3225806451613,62
325,SI266220200309225433,5,0,
326,SI266220200309225433,6,0,14.275,171.7,40,165.33333333333334,415.8666666666667,15,276.84615384615387,378.2307692307692,13,351.719298245614,461.4736842105263,57,439.5,379.0,16
327,SI266220200309225433,7,368,5.284313725490196,132.61111111111111,306,43.42857142857143,176.28571428571428,7,209.67906976744186,145.50697674418603,215,269.56626506024094,97.3132530120482,83,363.6456953642384,165.05960264900662,302,433.6923076923077,104.71794871794872,117
328,SI266220200309225433,8,0,497.72727272727275,335.59090909090907,44
329,SI266220200309225433,9,56,103.3558282208589,494.0858895705521,163,165.6046511627907,447.25581395348837,43,276.6145833333333,497.3333333333333,96,338.4117647058824,447.11764705882354,34
330,SI266220200309225433,10,67,121.2109375,1.890625,128,262.04661016949154,15.847457627118644,236,497.8,1.7,10
331,SI266220200309225433,11,0,
332,SI266220200309225433,12,0,1.8181818181818181,350.09090909090907,22,56.2,298.2,5,152.3548387096774,381.8709677419355,31
333,SI266220200309225433,13,0,
334,SI266220200309225433,14,0,0.8333333333333334,1.6666666666666667,6
335,SI266220200309225433,15,0,
336,SI266220200309225433,0,0,
337,SI266220200309225433,1,0,
338,SI266220200309225433,2,0,
339,SI266220200309225433,3,2322,310.6275862068965,121.34482758620689,145,339.2,155.4,5,376.8,165.8,15,479.84615384615387,94.87179487179488,39,498.3606557377049,166.9672131147541,61
340,SI266220200309225433,4,0,
341,SI266220200309225433,5,0,
342,SI266220200309225433,6,0,166.58823529411765,414.7647058823529,17,352.2564102564103,381.4102564102564,39
343,SI266220200309225433,7,352,0.8571428571428571,95.0,14,0.6206896551724138,168.89655172413794,58,40.857142857142854,176.33333333333334,21,168.6734693877551,128.55102040816325,49,233.1818181818182,104.4090909090909,22,352.6,97.9,20
344,SI266220200309225433,8,0,449.42857142857144,334.7142857142857,7,497.8666666666667,318.73333333333335,15,497.6,355.2,5
345,SI266220200309225433,9,109,63.206896551724135,480.7586206896552,58,104.0,462.0,5,109.0909090909091,498.3636363636364,11,128.33333333333334,454.0833333333333,12,166.05882352941177,498.05882352941177,17,252.46808510638297,452.531914893617,47,253.84615384615384,498.3076923076923,13
346,SI266220200309225433,10,0,106.06666666666666,0.8,15,166.42857142857142,7.857142857142857,21,253.33333333333334,0.7333333333333333,15,340.2857142857143,36.0,7
347,SI266220200309225433,11,0,
348,SI266220200309225433,12,0,0.8,314.4,5,151.5,303.0,10
349,SI266220200309225433,13,0,
350,SI266220200309225433,14,0,
351,SI266220200309225433,15,0,
352,SI266220200309225433,0,0,
353,SI266220200309225433,1,0,482.38461538461536,478.38461538461536,13,497.9230769230769,453.0769230769231,13
354,SI266220200309225433,2,0,498.0240963855422,202.3734939759036,83
355,SI266220200309225433,3,8428,361.3121387283237,125.50867052023122,173,467.75,181.8181818181818,44,485.56880733944956,105.05504587155963,109
356,SI266220200309225433,4,0,
357,SI266220200309225433,5,1,20.634146341463413,456.1219512195122,41,381.3333333333333,314.0833333333333,12,431.0,498.0,6
358,SI266220200309225433,6,0,0.9493670886075949,201.34177215189874,79,39.833333333333336,251.16666666666666,6,270.2857142857143,378.57142857142856,7,435.3333333333333,378.3333333333333,9
359,SI266220200309225433,7,3387,25.28448275862069,137.8706896551724,232,350.85714285714283,151.35714285714286,14,402.1904761904762,121.14285714285714,21,435.3404255319149,173.10638297872342,47,434.3703703703704,96.5925925925926,27
360,SI266220200309225433,8,0,
361,SI266220200309225433,9,78,128.8,454.4,5,157.26666666666668,448.0888888888889,45,162.71428571428572,498.0,7,251.4,498.2,5,314.8478260869565,498.0,46,296.0,445.625,8,331.1666666666667,446.4583333333333,48
362,SI266220200309225433,10,0,314.1190476190476,1.0,42
363,SI266220200309225433,11,0,
364,SI266220200309225433,12,0,
365,SI266220200309225433,13,0,
366,SI266220200309225433,14,0,
367,SI266220200309225433,15,0,
368,SI266220200309225433,0,0,
369,SI266220200309225433,1,0,
370,SI266220200309225433,2,0,
